RowID,EntryID,Account,Folio,Date,EntryText,Place,Event,Notes
102,V2552,Vernon,63r,1643-05-10,140 p[ai]d Coll[onel] langham for a reward to [th]e Common soldiers of his reg[imen]t for digginge in the trenches befor Redding £20 - 0s - 0d,"Reading, Berkshire",siege,
103,F0012,Fenton,97r,1643-05-25,p[ai]d [th]e Maior of Reading for woode for [th]e Court[es] of Guard £21 - 15s - 7d,"Reading, Berkshire",,
104,V2673,Vernon,65v,1643-05-26,22 p[ai]d Richard Dean for [th]e paym[en]t of [th]e gunners and matroses for service done before Redding £160 - -s - -d,"Reading, Berkshire",siege,
105,V0465,Vernon,17v,1642-09-02,sallery p[ai]d Anthony Fane for soe much expended for searching of Armes & bringinge ordinance from Richmond £7 - 9s - 0d,"Richmond, Surrey",,Assumed Surrey more likely than Yorkshire
106,V0601,Vernon,21r,1642-09-06,92 p[ai]d m[aste]r Edward Ash w[hi]ch was p[ai]d the 5 present for soe much by him disbursed before hand for supplie of the Army in sommersetsh[ire] £200 - 0s - 0d,Somerset,,
107,V0704,Vernon,24r,1642-09-10,64 p[ai]d m[aste]r George Milward for a bill of exchange directed from my lord of Bedford about the busines in som[m]ersetshir £100 - -s - -d,Somerset,,
108,F0323,Fenton,102r,1643-09-16,paid unto his Ex[cellen]cie w[hi]ch hee lent at St Albans for [th]e pay of the Comon souldiers £150 - 0s - 0d,"St Albans, Hertfordshire",,
109,V1231,Vernon,36r,1642-11-11,30 p[ai]d Collonel Ballard for 674 sold[ier]s of his regiment presented in Tuttle feild[es] for guift monie at 2s 6d a peece £84 - 5s - 0d,"Tothill Fields, Middlesex",,
110,V0651,Vernon,22v,1642-09-08,96 paid unto m[aste]r Geo[rge] Paylor & m[aste]r Jo[hn] Falkoner officers of the armory in the tower by way of imprest for repayringe certaine defective arms & musket[es] in the tower for this service £100 - 0s - 0d,Tower of London,,
111,V0168,Vernon,9v,1642-08-15,sallery p[ai]d Isaack Broomwich for charges of severall post & messages about the busines of warwicke & coventry £7 - 0s - 0d,Warwick,,
112,V1142,Vernon,34r,1642-10-29,100 p[ai]d Docter Gardinter & docter odlinge for releiff of the sicke & mamed sold[ier]s in warwicke £100 - -s - -d,Warwick,,
113,V1724,Vernon,46r,1642-12-21,p[ai]d w[illia]m Hallford for soe much by him disbursed for cariage of severall sort[es] of Ammunition from Kinton feild to warwicke & other places for the use of the Army £15 - 2s - 6d,Warwick,,
114,V2220,Vernon,56v,1643-03-08,p[ai]d Hister Price widdow for monies by her expended in provisions for sick & maimed soldiers at warwicke £5 - -s - -d,Warwick,,
115,V1662,Vernon,44v,1642-12-17,127 p[ai]d S[i]r Edward Peito toward[es] making the fortification in & about windsor £200 - -s - -d,"Windsor, Berkshire",,
116,V1895,Vernon,49v,1643-01-06,178 p[ai]d m[aste]r w[illia]m Church major of windsor for soe much by him disbursed for firing & Candell[es] for severall court[es] of guard in windsor from [th]e 28 november to the 26 december £22 - 0s - 0d,"Windsor, Berkshire",,
117,V1922,Vernon,50r,1643-01-13,127 p[ai]d S[i]r Edward Peyto toward[es] charges of the Trenches about windsor £100 - 0s - 0d,"Windsor, Berkshire",,
